,code,name,price,distributor,image_src
145,FRE00196,Марула 1п,28,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00196.jpg&w=750&q=75
146,FRE00107,Авокадо Fuerte Позелено 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00107.jpg&w=750&q=75
147,FRE00107,Авокадо Fuerte Позелено 1п цца 160гр,56,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00107.jpg&w=750&q=75
148,FRE00237,Бабура Зелена 1п цца. 90гр,14,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00237.jpg&w=750&q=75
149,FRE00237,Бабура Зелена 1п цца. 90гр,14,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00237.jpg&w=750&q=75
150,FRE00141,Домати мин. 5п цца 1кг,88,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00141.jpg&w=750&q=75
151,FRE00141,Домати мин. 5п цца 1кг,88,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00141.jpg&w=750&q=75
152,FRE00210,Пиперки Капија мин. 5п цца. 1кг,103,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00210.jpg&w=750&q=75
153,FRE00210,Пиперки Капија мин. 5п цца. 1кг,103,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00210.jpg&w=750&q=75
154,FUD13442,Food Bar Ајсберг 200гр,94,Трговец:,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFUD13442.jpg&w=750&q=75
155,FUD13442,Food Bar Ајсберг 200гр,94,Трговец:,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFUD13442.jpg&w=750&q=75
156,FRE00177,Кромид Црвен 1п цца. 150гр,7,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00177.jpg&w=750&q=75
157,FRE00177,Кромид Црвен 1п цца. 150гр,7,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00177.jpg&w=750&q=75
158,FRE00194,Магдонос 1 китка,14,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00194.jpg&w=750&q=75
159,FRE00194,Магдонос 1 китка,14,Пакет Пилјара,https://paket.mk/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fpaket.mk%2Fuploads%2FFRE00194.jpg&w=750&q=75
